"Zeit";"Nutzer";"Rolle";"Aktion";"Draft-Version";"Published-Version";"Diff"
"2026-07-15T16:45:26.439Z";"qa_ie_mgr_a_33546462";"ACP_MANAGER";"DISCARD_DRAFT";"8";"2";"{""ui"":{""after"":{""sortDir"":""asc"",""sortField"":""itemId"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}},""before"":{""sortDir"":""asc"",""sortField"":""unitLabel"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}}},""tags"":{""after"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":[""Review""]},""before"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":[""Review"",""Freigabe""]}}}"
"2026-07-15T16:45:25.850Z";"qa_ie_mgr_a_33546462";"ACP_MANAGER";"TAGS_CHANGED";"7";"2";"{""ui"":{""after"":{""sortDir"":""asc"",""sortField"":""unitLabel"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}},""before"":{""sortDir"":""asc"",""sortField"":""itemId"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}}},""tags"":{""after"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":[""Review"",""Freigabe""]},""before"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":[""Review""]}}}"
"2026-07-15T16:41:04.532Z";"qa_ie_mgr_a_33546462";"ACP_MANAGER";"DISCARD_DRAFT";"6";"2";"{""ui"":{""after"":{""sortDir"":""asc"",""sortField"":""itemId"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}},""before"":{""sortDir"":""asc"",""sortField"":""__manual__"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}}},""itemOrder"":{""after"":[],""before"":[""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""82788b7a-ac2a-4a45-aef0-ef411d6786f3"",""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"",""71f4b83a-a081-4078-bbd8-a3914390393a"",""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"",""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"",""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"",""916c3ad3-a73d-400d-8280-300b62f07170"",""d3b1c6ad-2c33-47ad-8179-0457ff414769"",""a4b538e7-a7bc-44f2-9738-5f3f6248586e"",""00578a34-8575-4518-99be-3f601763aa05"",""6ff2501b-a823-4c4e-b635-57ca4a6354fd"",""6c3edc72-71ae-478c-a906-518514b752bd"",""93e79edb-846a-432e-b6fa-11d5a94b5d95"",""8d0aeda9-82e0-4d03-ac2d-1f4ecbe5fad1"",""6d4376ca-3dc7-4737-ba09-a884b583eb5a"",""9a5af3a8-a559-4697-b389-dda436671604"",""685557c2-cc1a-432d-804f-f125e07ff085"",""5d31a6a8-f8ae-4698-87e1-e22198caf123"",""627a13f3-6fc8-40b4-bb56-fcfe0bb3bec5"",""M3_CK12_01""]}}"
"2026-07-15T16:41:04.263Z";"qa_ie_mgr_a_33546462";"ACP_MANAGER";"ITEM_ORDER_CHANGED";"5";"2";"{""ui"":{""after"":{""sortDir"":""asc"",""sortField"":""__manual__"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}},""before"":{""sortDir"":""asc"",""sortField"":""itemId"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}}},""itemOrder"":{""after"":[""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""82788b7a-ac2a-4a45-aef0-ef411d6786f3"",""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"",""71f4b83a-a081-4078-bbd8-a3914390393a"",""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"",""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"",""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"",""916c3ad3-a73d-400d-8280-300b62f07170"",""d3b1c6ad-2c33-47ad-8179-0457ff414769"",""a4b538e7-a7bc-44f2-9738-5f3f6248586e"",""00578a34-8575-4518-99be-3f601763aa05"",""6ff2501b-a823-4c4e-b635-57ca4a6354fd"",""6c3edc72-71ae-478c-a906-518514b752bd"",""93e79edb-846a-432e-b6fa-11d5a94b5d95"",""8d0aeda9-82e0-4d03-ac2d-1f4ecbe5fad1"",""6d4376ca-3dc7-4737-ba09-a884b583eb5a"",""9a5af3a8-a559-4697-b389-dda436671604"",""685557c2-cc1a-432d-804f-f125e07ff085"",""5d31a6a8-f8ae-4698-87e1-e22198caf123"",""627a13f3-6fc8-40b4-bb56-fcfe0bb3bec5"",""M3_CK12_01""],""before"":[]}}"
"2026-07-15T16:41:04.131Z";"qa_ie_mgr_a_33546462";"ACP_MANAGER";"SAVE_DRAFT";"4";"2";"{""ui"":{""after"":{""sortDir"":""asc"",""sortField"":""itemId"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}},""before"":{}},""tags"":{""after"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":[""Review""]},""before"":{}}}"
"2026-07-15T16:40:33.831Z";"qa_ie_mgr_a_33546462";"ACP_MANAGER";"TAGS_CHANGED";"3";"1";"{""tags"":{""after"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":[""Review""]},""before"":{}}}"
"2026-07-15T16:40:03.647Z";"qa_ie_mgr_a_33546462";"ACP_MANAGER";"UI_STATE_CHANGED";"2";"1";"{""ui"":{""after"":{""sortDir"":""asc"",""sortField"":""itemId"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}},""before"":{}}}"
